bgg_id,bgg_name,year_published,play_time,rank,bayes_average,average,users_rated,average_weight,mechanisms,publishers,designers,families,categories
224517,"Brass: Birmingham",2018,120,1,8.40167,8.5771,52200,3.8684,"Chaining|End Game Bonuses|Hand Management|Income|Loans|Market|Multi-Use Cards|Network and Route Building|Ownership|Tags|Tech Trees / Tech Tracks|Tile Placement|Turn Order: Stat-Based|Variable Set-up","Roxley|Arclight Games|Board Game Rookie|BoardM Factory|CMON Global Limited|Conclave Editora|CrowD Games|Dexker Games|Funforge|Gém Klub Kft.|Ghenos Games|Giant Roc|Lanlalen|Lord of Boards|Maldito Games|PHALANX|Rebel Sp. z o.o.|TLAMA games|White Goblin Games|盒拍工作室 Hepa Studio","Gavan Brown|Matt Tolman|Martin Wallace","Cities: Birmingham (England)|Components: Map (Regional scale)|Components: Multi-Use Cards|Country: England|Crowdfunding: Kickstarter|Crowdfunding: Spieleschmiede|Digital Implementations: Steam|Digital Implementations: Tabletopia|Digital Implementations: VASSAL|Food & Drink: Beer|Game: Brass|History: Industrial Revolution|Misc: LongPack Games|Misc: Watch It Played How To Videos|Occupation: Engineer|Organizations: The Game Artisans of Canada|Theme: Canals","Age of Reason|Economic|Industry / Manufacturing|Post-Napoleonic|Trains|Transportation"
161936,"Pandemic Legacy: Season 1",2015,60,2,8.36231,8.51611,55623,2.8299,"Action Points|Cooperative Game|Hand Management|Legacy Game|Multi-Use Cards|Point to Point Movement|Scenario / Mission / Campaign Game|Set Collection|Tags|Trading|Variable Player Powers","Z-Man Games|Asterion Press|Devir|Filosofia Éditions|Gém Klub Kft.|Hobby Japan|Jolly Thinkers|Korea Boardgames|Lacerta|Lifestyle Boardgames Ltd|MINDOK|Ігромаг","Rob Daviau|Matt Leacock","Components: Map (Global Scale)|Components: Multi-Use Cards|Game: Pandemic|Mechanism: Campaign Games|Mechanism: Legacy|Medical: Diseases|Misc: Limited Replayability|Misc: Made by Panda|Occupation: Dispatcher|Occupation: Medic / Doctor / Nurses|Occupation: Researcher / Scientist|Region: The World|Theme: Science|Versions & Editions: Legacy Versions of Non-Legacy Games","Environmental|Medical"
342942,"Ark Nova",2021,150,3,8.34714,8.53653,52648,3.7812,"Action Queue|End Game Bonuses|Grid Coverage|Hand Management|Hexagon Grid|Income|Increase Value of Unchosen Resources|Open Drafting|Set Collection|Solo / Solitaire Game|Tags|Tile Placement|Variable Player Powers|Variable Set-up","Feuerland Spiele|Capstone Games|CMON Global Limited|Cranio Creations|Game Harbor|Gém Klub Kft.|Grok Games|IGAMES|Korea Boardgames|Lautapelit.fi|Ludofy Creative|Maldito Games|MINDOK|MIPL|Portal Games|Regatul Jocurilor|Super Meeple|テンデイズゲームズ (TendaysGames)|Tower Tactic Games|White Goblin Games","Mathias Wigge","Animals: Okapi|Components: Hexagonal Tiles|Digital Implementations: Board Game Arena|Digital Implementations: Steam|Digital Implementations: TableTop Simulator Mod (TTS)|Game: Ark Nova|Mechanism: Tableau Building|Players: Games with Solitaire Rules|Theme: Ecology|Theme: Science|Theme: Zoos, Aquaria, Safari Parks","Animals|Economic|Environmental"
174430,"Gloomhaven",2017,120,4,8.32388,8.5628,64923,3.9142,"Action Queue|Action Retrieval|Campaign / Battle Card Driven|Card Play Conflict Resolution|Communication Limits|Cooperative Game|Critical Hits and Failures|Deck Construction|Grid Movement|Hand Management|Hexagon Grid|Legacy Game|Line of Sight|Modular Board|Multi-Use Cards|Narrative Choice / Paragraph|Once-Per-Game Abilities|Role Playing|Scenario / Mission / Campaign Game|Simultaneous Action Selection|Solo / Solitaire Game|Storytelling|Tags|Variable Player Powers","Cephalofair Games|Albi|Albi Polska|Arclight Games|Feuerland Spiele|Galápagos Jogos|Games Warehouse|Gém Klub Kft.|Hobby World|Korea Boardgames|MYBG Co., Ltd.","Isaac Childres","Category: Dungeon Crawler|Components: Map (City Scale)|Components: Miniatures|Components: Multi-Use Cards|Components: Standees|Creatures: Demons|Creatures: Dragons|Creatures: Monsters|Crowdfunding: Kickstarter|Digital Implementations: Steam|Digital Implementations: TableTop Simulator Mod (TTS)|Game: Gloomhaven|Mechanism: Campaign Games|Mechanism: Legacy|Misc: Forteller Audio Narration|Misc: Made by Panda|Players: Games with Solitaire Rules","Adventure|Exploration|Fantasy|Fighting|Miniatures"
233078,"Twilight Imperium: Fourth Edition",2017,480,5,8.22746,8.57681,26128,4.3354,"Action Drafting|Area-Impulse|Dice Rolling|Follow|Grid Movement|Hexagon Grid|Increase Value of Unchosen Resources|King of the Hill|Modular Board|Movement Points|Race|Tech Trees / Tech Tracks|Trading|Variable Phase Order|Variable Player Powers|Variable Set-up|Voting","Fantasy Flight Games|ADC Blackfire Entertainment|Arclight Games|Asterion Press|Delta Vision Publishing|Edge Entertainment|Galakta|Galápagos Jogos|Geekach Games|Hobby World|Playfun Games|sternenschimmermeer","Dane Beltrami|Corey Konieczka|Christian T. Petersen","Components: Hexagonal Tiles|Components: Map (Interplanetary or Interstellar scale)|Components: Miniatures|Game: Twilight Imperium|Mechanism: 4X|Misc: Made by Panda","Civilization|Economic|Exploration|Negotiation|Political|Science Fiction|Space Exploration|Territory Building|Wargame"
316554,"Dune: Imperium",2020,120,6,8.22676,8.42067,52649,3.0644,"Card Play Conflict Resolution|Deck, Bag, and Pool Building|Delayed Purchase|Force Commitment|Increase Value of Unchosen Resources|Multi-Use Cards|Open Drafting|Race|Solo / Solitaire Game|Tags|Take That|Turn Order: Progressive|Variable Player Powers|Worker Placement","Dire Wolf|Arclight Games|Broadway Toys LTD|Galápagos Jogos|Geekach Games|Lavka Games|Lucky Duck Games|MIPL|Reflexshop|REXhry|sternenschimmermeer|Tabletop KZ|YingDi (旅法师营地)","Paul Dennen","Books: Dune|Components:  Meeples|Components: Multi-Use Cards|Digital Implementations: Google Play|Digital Implementations: Steam|Game: Dune: Imperium|Misc: LongPack Games|Misc: Watch It Played How To Videos|Players: Games with Solitaire Rules","Movies / TV / Radio theme|Novel-based|Political|Science Fiction"
167791,"Terraforming Mars",2016,120,7,8.19973,8.34853,106445,3.2663,"Closed Drafting|Contracts|End Game Bonuses|Hand Management|Hexagon Grid|Income|Set Collection|Solo / Solitaire Game|Tags|Take That|Tech Trees / Tech Tracks|Tile Placement|Turn Order: Progressive|Variable Player Powers|Variable Set-up|Victory Points as a Resource","FryxGames|Arclight Games|Brädspel.se|Fantasmagoria|Ghenos Games|Green Elephant Games|Intrafin Games|Kaissa Chess & Games|Kilogames|Korea Boardgames|Lautapelit.fi|Lavka Games|Lex Games|Maldito Games|MeepleBR|MINDOK|MIPL|MYBG Co., Ltd.|NeoTroy Games|Rebel Sp. z o.o.|Reflexshop|Schwerkraft-Verlag|Siam Board Games|Stronghold Games|SuperHeated Neurons|Surfin' Meeple China","Jacob Fryxelius","Category: Dized Tutorial|Components: Map (Global Scale)|Components: Multi-Use Cards|Digital Implementations: Board Game Arena|Digital Implementations: Google Play|Digital Implementations: Steam|Game: Terraforming Mars|Mechanism: Tableau Building|Occupation: Engineer|Players: Games with Solitaire Rules|Series: Terraforming Mars|Setting: Future Timeline (Fryxgames)|Space: Colonization / Extraterrestrial Colonisation|Space: Earth's Solar System|Space: Jupiter|Space: Mars|Theme: Science","Civilization|Economic|Environmental|Industry / Manufacturing|Science Fiction|Space Exploration|Territory Building"
115746,"War of the Ring: Second Edition",2011,180,8,8.19267,8.54869,23328,4.2233,"Action Drafting|Area Majority / Influence|Area Movement|Campaign / Battle Card Driven|Card Play Conflict Resolution|Dice Rolling|Events|Hand Management|Movement Points|Team-Based Game|Variable Player Powers|Variable Set-up","Ares Games|Angry Lion Games|Devir|GaGa Games|Galakta|Geekach Games|Heidelberger Spieleverlag|Nuts! Publishing|Planplay|Red Glove|REXhry|Schwerkraft-Verlag|Sophisticated Games|Zhiyanjia","Roberto Di Meglio|Marco Maggi|Francesco Nepitello","Authors: J.R.R. Tolkien|Category: Dized Tutorial|Components: Map (Continental / National scale)|Components: Miniatures|Creatures: Monsters|Series: War of the Ring (Nexus/Ares Games)|Theme: Medieval Fantasy","Fantasy|Fighting|Novel-based|Territory Building|Wargame"
187645,"Star Wars: Rebellion",2016,240,9,8.16878,8.41931,34538,3.7432,"Area Majority / Influence|Area Movement|Card Play Conflict Resolution|Contracts|Delayed Purchase|Dice Rolling|Die Icon Resolution|Events|Hand Management|Hidden Movement|Income|Once-Per-Game Abilities|Tags|Take That|Team-Based Game|Variable Player Powers|Variable Set-up|Worker Placement, Different Worker Types","Fantasy Flight Games|ADC Blackfire Entertainment|Asterion Press|Delta Vision Publishing|Edge Entertainment|Galakta|Galápagos Jogos|Geekach Games|Heidelberger Spieleverlag|Hobby World|Korea Boardgames","Corey Konieczka","Components: Map (Interplanetary or Interstellar scale)|Components: Miniatures|Components: Standees|Creatures: Aliens / Extraterrestrials|Movies: Star Wars","Civil War|Miniatures|Movies / TV / Radio theme|Science Fiction|Space Exploration|Wargame"
162886,"Spirit Island",2017,120,10,8.1416,8.34131,57607,4.0747,"Action Retrieval|Area Majority / Influence|Automatic Resource Growth|Campaign / Battle Card Driven|Cooperative Game|Deck, Bag, and Pool Building|Hand Management|Modular Board|Simultaneous Action Selection|Solo / Solitaire Game|Tags|Variable Player Powers|Variable Set-up","Greater Than Games, LLC|999 Games|Ace Studios|Arrakis Games|BoardM Factory|Engames|Fabled Nexus|Fox in the Box|Games7Days|Gém Klub Kft.|Ghenos Games|Hobby World|Intrafin Games|Lacerta|One Moment Games|Pegasus Spiele|Portal Games|REXhry|Siam Board Games","R. Eric Reuss","Category: Dized Tutorial|Components: Control Boards|Components: Map (Continental / National scale)|Components: Miniatures|Components: Official Music Soundtrack|Components: Wooden pieces & boards|Crowdfunding: Kickstarter|Digital Implementations: Apple App Store|Digital Implementations: Google Play|Digital Implementations: Steam|Game: Spirit Island|Islands: Fictional|Misc: LongPack Games|Players: Games with Solitaire Rules|Theme: Colonial|Theme: Tropical|Theme: Tropical Islands","Environmental|Fantasy|Fighting|Mythology|Territory Building"
