"identifier","game_rank","points","bgg_id","bgg_name"
1,1,50,337627,"Voidfall"
1,2,49,184267,"On Mars"
1,3,48,359871,"Arcs"
1,4,47,162886,"Spirit Island"
1,5,46,161533,"Lisboa"
1,6,45,259962,"Stress Botics"
1,7,44,287871,"Hybris: Disordered Cosmos"
1,8,43,185343,"Anachrony"
1,9,42,367150,"Dune: War for Arrakis"
1,10,41,256960,"Pax Pamir: Second Edition"
1,11,40,332772,"Revive"
1,12,39,347305,"Inventions: Evolution of Ideas"
1,13,38,325022,"Coffee Traders"
1,14,37,163068,"Trickerion: Legends of Illusion"
1,15,36,367518,"Imperium: Horizons"
1,16,35,323612,"Bitoku"
1,17,34,382518,"Sankoré: The Pride of Mansa Musa"
1,18,33,291572,"Oath"
1,19,32,345976,"System Gateway (fan expansion for Android: Netrunner)"
1,20,31,321608,"Hegemony: Lead Your Class to Victory"
1,21,30,408180,"Shackleton Base: A Journey to the Moon"
1,22,29,304510,"Pampero"
1,23,28,385761,"Faraway"
1,24,27,310873,"Carnegie"
1,25,26,316554,"Dune: Imperium"
1,26,25,42052,"Vinhos"
1,27,24,425445,"Sweet Lands"
1,28,23,163839,"Feudum"
1,29,22,267609,"Guards of Atlantis II"
1,30,21,418059,"SETI: Search for Extraterrestrial Intelligence"
1,31,20,367517,"La Famiglia: The Great Mafia War"
1,32,19,308305,"21Moon"
1,33,18,345868,"Federation"
1,34,17,358661,"Andromeda's Edge"
1,35,16,265537,"Weimar: The Fight for Democracy"
1,36,15,375459,"Speakeasy"
1,37,14,342921,"The British Way: Counterinsurgency at the End of Empire"
1,38,13,316624,"Stationfall"
1,39,12,356080,"The Elder Scrolls: Betrayal of the Second Era"
1,40,11,109276,"Kanban: Driver's Edition"
1,41,10,237182,"Root"
1,42,9,338957,"Caesar!: Seize Rome in 20 Minutes!"
1,43,8,368463,"Rebuilding Seattle"
1,44,7,233247,"Civilization: A New Dawn"
1,45,6,384213,"Fromage"
1,46,5,424981,"Eternal Decks"
1,47,4,404431,"Men-Nefer"
1,48,3,373667,"House of Fado"
1,49,2,203993,"Lorenzo il Magnifico"
1,50,1,407343,"Ironwood"
2,1,50,332686,"John Company: Second Edition"
2,2,49,240980,"Blood on the Clocktower"
2,3,48,310873,"Carnegie"
2,4,47,359871,"Arcs"
2,5,46,350205,"Horseless Carriage"
2,6,45,93,"El Grande"
2,7,44,342810,"Marrakesh"
2,8,43,111341,"The Great Zimbabwe"
2,9,42,39463,"Cosmic Encounter"
2,10,41,43015,"Hansa Teutonica"
2,11,40,365357,"Railways of the Lost Atlas"
2,12,39,291572,"Oath"
2,13,38,316624,"Stationfall"
2,14,37,385610,"Kutná Hora: The City of Silver"
2,15,36,400602,"Civolution"
2,16,35,256960,"Pax Pamir: Second Edition"
2,17,34,237182,"Root"
2,18,33,555,"The Princes of Florence"
2,19,32,284653,"Mind MGMT: The Psychic Espionage “Game.”"
2,20,31,23540,"Shikoku 1889"
2,21,30,121,"Dune"
2,22,29,42,"Tigris & Euphrates"
2,23,28,177736,"A Feast for Odin"
2,24,27,1588,"Bauernschlau"
2,25,26,342942,"Ark Nova"
2,26,25,308765,"Praga Caput Regni"
2,27,24,405537,"DroPolter"
2,28,23,63888,"Innovation"
2,29,22,118,"Modern Art"
2,30,21,343741,"The Mirroring of Mary King"
2,31,20,161533,"Lisboa"
2,32,19,212516,"Keyper"
2,33,18,15390,"Harvest"
2,34,17,377470,"Sail"
2,35,16,423683,"Caracas"
2,36,15,144592,"Bruxelles 1893"
2,37,14,36218,"Dominion"
2,38,13,31260,"Agricola"
2,39,12,304420,"Bonfire"
2,40,11,316554,"Dune: Imperium"
2,41,10,371077,"Arborea"
2,42,9,231733,"Obsession"
2,43,8,377480,"Hooky"
2,44,7,8190,"The Bridges of Shangri-La"
2,45,6,177524,"ICECOOL"
2,46,5,432,"Take 5"
2,47,4,238638,"Castell"
2,48,3,338376,"A Gest of Robin Hood"
2,49,2,251632,"Bee Lives: We Will Only Know Summer"
2,50,1,240415,"Desktop HEBOCON Battle Kit"
4,1,50,163068,"Trickerion: Legends of Illusion"
4,2,49,109276,"Kanban: Driver's Edition"
4,3,48,35677,"Le Havre"
4,4,47,12,"Ra"
4,5,46,182028,"Through the Ages: A New Story of Civilization"
4,6,45,4098,"Age of Steam"
4,7,44,321608,"Hegemony: Lead Your Class to Victory"
4,8,43,18602,"Caylus"
4,9,42,28720,"Brass: Lancashire"
4,10,41,224517,"Brass: Birmingham"
4,11,40,231733,"Obsession"
4,12,39,272739,"Clinic: Deluxe Edition"
4,13,38,128621,"Viticulture"
4,14,37,25292,"Merchants & Marauders"
4,15,36,3076,"Puerto Rico"
4,16,35,380607,"Great Western Trail: New Zealand"
4,17,34,2651,"Power Grid"
4,18,33,105551,"Archipelago"
4,19,32,174430,"Gloomhaven"
4,20,31,31260,"Agricola"
4,21,30,2511,"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases"
4,22,29,44163,"Power Grid: Factory Manager"
